,Chave,Valor
1717,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-06-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-52dot61658197909075_-32dot09007773695948_-52dot61216023419855_-32dot084847508311576/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1718,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-06-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-52dot61532433769298_-32dot09582695477786_-52dot60928562528937_-32dot08628481276617/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1719,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-06-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-52dot61307854948268_-32dot096365943948335_-52dot60253210461896_-32dot081803929407826/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1720,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-06-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-52dot61047343515873_-32dot09861173215863_-52dot60470421734036_-32dot09427981879484/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1721,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-06-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-53dot114328476278104_-31dot972128940154587_-53dot10928791243029_-31dot967807026073242/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1722,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-06-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-52dot730757851702336_-31dot997910588808825_-52dot71314087015497_-31dot983797038602408/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1723,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-06-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-53dot024057791967365_-33dot141106619379315_-53dot01433598689885_-33dot131923803481286/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1724,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-06-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-52dot85327805623728_-33dot03985648678745_-52dot84842715359025_-33dot03554457302349/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1725,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-10-01_end_2023-06-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-52dot487404241234366_-32dot224825029577424_-52dot478580751449975_-32dot21492356145209/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1726,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-58dot54124077244422_-9dot85991855849582_-58dot53009773672113_-9dot852117161477803/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
